# Stellarium DSO catalog;;;;;;;;
# Version 3.7 standard;;;;;;;;
# NGC;MES;CAL;RA;DEC;MAG;TYPE;SIZE1;SIZE2
2261;0;46;99.79146;8.73603;9;REFNB;2;1
5248;0;45;204.383621;8.885061;10.97;GALXY;6.2;4.5
7479;0;44;346.236117;12.322878;10.85;GALXY;4.1;3.1
7814;0;43;0.812279;16.145228;11.6;GALXY;5.5;2.3
7006;0;42;315.372771;16.187914;10.46;GLOCL;1.527;1.466
0;0;41;66.75;15.8667;0.5;OPNCL;330;0
3626;0;40;170.015808;18.356792;99;GALXY;2.163;1.211
2392;0;39;112.294858;20.911801;9.68;PLNNB;0.8;0.747
4565;0;38;189.086683;25.987392;12.43;GALXY;15.9;1.85
6885;0;37;303.004;26.478;8.1;OPNCL;20;0
4559;0;36;188.990371;27.959761;10.01;GALXY;10.7;4.4
4889;0;35;195.033737;27.977025;11.3;GALXY;2.66;1.809
6960;0;34;311.4083;30.7083;7;SNREM;210;160
6992;0;33;314.079;31.743;7;SNREM;230;160
4631;0;32;190.533371;32.541511;9.19;GALXY;9.253;2.776
0;0;31;79.35;34.38;6;EMINB;50;30
7331;0;30;339.267092;34.415919;9.48;GALXY;10.5;3.7
5005;0;29;197.734633;37.058942;13.67;GALXY;3.91;1.642
752;0;28;29.421;37.785;5.7;OPNCL;75;0
6888;0;27;303.029;38.355;7.4;EMINB;20;10
4244;0;26;184.373579;37.807111;10;GALXY;16.6;1.9
2419;0;25;114.53546;38.88192;9.06;GLOCL;4.6;0
1275;0;24;49.950667;41.511695;12.48;GALXY;2.907;2.413
891;0;23;35.637112;42.348319;10.1;GALXY;13.5;2.5
7662;0;22;351.4733;42.535;8.3;PLNNB;0.62;0.257
4449;0;21;187.046325;44.093558;9.4;GALXY;6.2;4.4
7000;0;20;314.696;44.33;4;H-I-I;120;100
0;0;19;328.35;47.267;7.2;CLANB;12;12
185;0;18;9.741542;48.337378;9.2;GALXY;11.7;10
147;0;17;8.3005;48.508739;9.5;GALXY;13.2;7.8
7243;0;16;333.783;49.898;6.4;OPNCL;30;0
6826;0;15;296.200625;50.525073;8.8;PLNNB;0.45;0.4
869;0;14;34.75;57.128;3.8;OPNCL;30;0
884;0;14;35.596;57.125;3.8;OPNCL;30;0
457;0;13;19.896;58.287;6.4;OPNCL;20;0
6946;0;12;308.71805;60.153678;9.6;GALXY;11.5;9.8
7635;0;11;350.2012;61.2017;10;H-I-I;15;8
663;0;10;26.537;61.235;7.1;OPNCL;15;0
0;0;9;344.3208;62.4758;7.7;H-I-I;50;30
559;0;8;22.38;63.302;9.5;OPNCL;7;0
2403;0;7;114.21415;65.602547;8.9;GALXY;21.9;12.3
6543;0;6;269.639262;66.6332;8.1;PLNNB;0.33;0.497
0;0;5;56.702142;68.096106;9.1;GALXY;21.4;20.9
7023;0;4;315.4037;68.1633;6.8;CLANB;10;8
4236;0;3;184.175492;69.462569;10.5;GALXY;21.9;7.2
40;0;2;3.254209;72.521971;10.7;PLNNB;0.63;0.58
188;0;1;12.108;85.255;8.1;OPNCL;15;0
292;0;0;13.1583;-72.8003;2.2;GALXY;309;204.1
1980;0;0;83.85;-5.915;2.5;CLSTR;240;180
3503;0;0;165.3162;-59.8442;99;REFNB;210;60
1909;0;0;75.5;-7.9;8;REFNB;180;60
3576;0;0;167.9575;-61.3039;99;H-I-I;170;40
1499;0;0;60.825;36.422;99;H-I-I;160;40
2327;0;0;106.033;-11.317;99;REFNB;150;150
2024;0;0;85.429;-1.842;99;CLANB;120;120
6523;0;0;270.8;-24.38;99;CLSTR;90;40
1432;0;0;56.5;24.2;3.88;H-I-I;60;40
1990;0;0;83.7;-1.7;99;H-I-I;50;10
6334;0;0;260.212;-36.115;99;SNREM;50;25
2451;0;0;116.35;-37.97;9.5;CLSTR;45;0
1746;0;0;75.958;23.77;6.1;OPNCL;45;0
1977;0;0;83.8167;-4.8208;99;BINEB;42;26
5822;0;0;226.118;-54.39;6.5;OPNCL;40;0
1647;0;0;71.479;19.115;6.4;OPNCL;40;0
2546;0;0;123.062;-37.595;6.3;OPNCL;40;0
6823;0;0;295.788;23.3;7.1;CLANB;40;30
2175;0;0;92.413;20.487;6.8;OPNCL;40;30
1582;0;0;68.064;43.8454;7;OPNCL;37;0
6883;0;0;302.829;35.832;8;OPNCL;35;0
281;0;0;13.1046;56.565;99;H-I-I;35;30
1245;0;0;48.701;47.253;8.4;OPNCL;30;0
7789;0;0;359.35;56.708;6.7;OPNCL;30;0
6416;0;0;266.079;-32.362;5.7;OPNCL;30;0
5460;0;0;211.862;-48.343;5.6;CLSTR;30;0
6871;0;0;301.496;35.777;5.2;OPNCL;30;0
3114;0;0;150.65;-60.12;4.2;OPNCL;30;0
1435;0;0;56.5;23.9;4.18;REFNB;30;30
6152;0;0;248.18;-52.63;8.1;OPNCL;29;0
2232;0;0;96.813;-4.758;3.9;OPNCL;29;0
7039;0;0;317.7;45.617;7.6;OPNCL;25;0
1528;0;0;63.846;51.215;6.4;OPNCL;25;0
1981;0;0;83.787;-4.432;4.2;CLSTR;25;0
7380;0;0;341.837;58.132;7.2;CLANB;25;20
7822;0;0;0.28575;67.42139;99;H-I-I;23;23
2527;0;0;121.242;-28.147;6.5;OPNCL;22;0
129;0;0;7.5;60.218;6.5;OPNCL;21;0
2539;0;0;122.654;-12.818;6.5;OPNCL;21;0
5925;0;0;231.861;-54.5343;8.4;OPNCL;20;0
2252;0;0;98.75458;5.42039;7.7;OPNCL;20;0
7209;0;0;331.279;46.483;7.7;OPNCL;20;0
2353;0;0;108.625;-10.267;7.1;OPNCL;20;0
2423;0;0;114.275;-13.872;6.7;OPNCL;20;0
2354;0;0;108.542;-25.69;6.5;OPNCL;20;0
1662;0;0;72.112;10.937;6.4;OPNCL;20;0
6940;0;0;308.608;28.283;6.3;OPNCL;20;0
6633;0;0;276.88;6.57;4.6;OPNCL;20;0
6882;0;0;302.95;26.82;14.1;OPNCL;20;0
2374;0;0;110.983;-13.263;8;OPNCL;19;0
2331;0;0;106.68;27.255;8.5;OPNCL;18;0
6664;0;0;279.154;-7.813;7.8;OPNCL;18;0
1027;0;0;40.679;61.633;6.7;OPNCL;18;0
1545;0;0;65.237;50.253;6.2;OPNCL;18;0
1807;0;0;77.703;16.522;7;OPNCL;17;0
2409;0;0;112.904;-17.193;7.3;CLANB;17;15
1817;0;0;78.063;16.69;7.7;OPNCL;16;0
3324;0;0;159.333;-58.642;6.7;CLSTR;15.5;14
6738;0;0;285.32;11.62;8.3;OPNCL;15;0
6259;0;0;255.187;-44.655;8;OPNCL;15;0
6546;0;0;271.842;-23.297;8;OPNCL;15;0
2670;0;0;131.375;-48.8;7.8;OPNCL;15;0
1664;0;0;72.775;43.675;7.6;OPNCL;15;0
4349;0;0;186.033;-61.872;7.4;OPNCL;15;0
6208;0;0;252.367;-53.728;7.2;OPNCL;15;0
6425;0;0;266.745;-31.53;7.2;OPNCL;15;0
6811;0;0;294.321;46.388;6.8;OPNCL;15;0
1342;0;0;52.908;37.377;6.7;OPNCL;15;0
5617;0;0;217.433;-60.712;6.3;OPNCL;15;0
2301;0;0;102.938;0.46;6;OPNCL;15;0
6067;0;0;243.296;-54.218;5.6;OPNCL;15;0
2281;0;0;102.071;41.078;5.4;OPNCL;15;0
2547;0;0;122.478;-49.205;4.7;OPNCL;15;0
3199;0;0;154.1367;-57.9339;99;H-I-I;15;10
6559;0;0;272.5;-24;99;H-I-I;15;10
2286;0;0;101.913;-3.155;7.5;OPNCL;14;0
6755;0;0;286.954;4.267;7.5;OPNCL;14;0
7686;0;0;352.422;49.17;5.6;OPNCL;14;0
